Tam	(ns)
4	765
8	1862
16	4861
32	10526
64	18915
128	39602
256	88372
512	176391
1024	359169
2048	754171
4096	1647431
8192	3638665
4	3639207
8	3640035
16	3641545
32	3644758
64	3653200
128	3671319
256	3703535
512	3768898
1024	3906896
2048	4199633
4096	4832301
8192	6135088
4	6135613
8	6136411
16	6137897
32	6141004
64	6147659
128	6161515
256	6191977
512	6254545
1024	6404316
2048	6687116
4096	7308767
8192	8738539
4	8739081
8	8739922
16	8741429
32	8744705
64	8751414
128	8765489
256	8797759
512	8860319
1024	9016378
2048	9282955
4096	9845249
8192	11069585
4	11070066
8	11070832
16	11072247
32	11075201
64	11081334
128	11094227
256	11121575
512	11179722
1024	11304357
2048	11567411
4096	12162679
8192	13362725
4	13363198
8	13363957
16	13365330
32	13368281
64	13374361
128	13387226
256	13414651
512	13472738
1024	13597331
2048	13860874
4096	14418973
8192	15689676
4	15690143
8	15690930
16	15692317
32	15695243
64	15701394
128	15714268
256	15743367
512	15801593
1024	15926590
2048	16202134
4096	16769451
8192	17966211
4	17966705
8	17967506
16	17969015
32	17972201
64	17978775
128	17992619
256	18022393
512	18080204
1024	18204930
2048	18467562
4096	19029402
8192	20236919
4	20237405
8	20238178
16	20239657
32	20242802
64	20249307
128	20263006
256	20292499
512	20350266
1024	20475045
2048	20746178
4096	21313641
8192	22512943
4	22513514
8	22514225
16	22515581
32	22518504
64	22526337
128	22539110
256	22567805
512	22625695
1024	22752519
2048	23023703
4096	23586563
8192	24789106
4	24789554
8	24790307
16	24791770
32	24794664
64	24800767
128	24813565
256	24844953
512	24902820
1024	25027368
2048	25298112
4096	25868676
8192	27074332
8192	28327885
