4	1645
8	1249
16	1589
32	2887
64	4094
128	7106
256	14697
512	31612
1024	67049
2048	91718
4096	103202
8192	200049
4	357
8	404
16	568
32	885
64	1379
128	2408
256	6225
512	10042
1024	19445
2048	38117
4096	72650
8192	151084
4	346
8	407
16	525
32	862
64	1358
128	2415
256	4515
512	9705
1024	18192
2048	36018
4096	77265
8192	143940
4	349
8	361
16	572
32	905
64	1444
128	2467
256	4570
512	9259
1024	18134
2048	36449
4096	73761
8192	145920
4	363
8	356
16	574
32	868
64	1438
128	2519
256	4585
512	9336
1024	18471
2048	36404
4096	73510
8192	149967
4	333
8	373
16	539
32	864
64	1359
128	2443
256	4534
512	9189
1024	17691
2048	37213
4096	72965
8192	146525
4	331
8	385
16	572
32	828
64	1357
128	2426
256	4398
512	9098
1024	17695
2048	35603
4096	71535
8192	147762
4	393
8	501
16	537
32	850
64	1394
128	2411
256	4543
512	9348
1024	18550
2048	36837
4096	73585
8192	170651
4	349
8	433
16	575
32	885
64	1370
128	2466
256	4658
512	9540
1024	18501
2048	36822
4096	72887
8192	166817
4	337
8	432
16	565
32	914
64	1434
128	2863
256	6750
512	10495
1024	19708
2048	45433
4096	78688
8192	165116
4	329
8	397
16	524
32	825
64	1380
128	2336
256	4436
512	9546
1024	17984
2048	36443
4096	81798
8192	191750
