4	1945
8	2342
16	4990
32	10328
64	17318
128	39979
256	114149
512	158534
1024	275782
2048	810397
4096	1258750
8192	2935939
4	426
8	759
16	1516
32	3522
64	8311
128	19854
256	46987
512	107738
1024	244491
2048	505125
4096	1252759
8192	2570263
4	645
8	870
16	1947
32	4567
64	10792
128	23288
256	42338
512	96999
1024	227243
2048	481382
4096	1189793
8192	2605571
4	638
8	1030
16	2179
32	4639
64	10607
128	24514
256	57768
512	135512
1024	260740
2048	664527
4096	1188781
8192	2734465
4	777
8	1207
16	2136
32	5115
64	11577
128	26474
256	62806
512	136193
1024	295330
2048	578793
4096	1337303
8192	2760925
4	584
8	997
16	1973
32	4475
64	10450
128	27358
256	51066
512	109808
1024	238104
2048	523788
4096	1128319
8192	2560525
4	745
8	1173
16	2337
32	5034
64	11509
128	26766
256	62690
512	136205
1024	302830
2048	564059
4096	1132407
8192	2629984
4	423
8	678
16	1530
32	3317
64	8298
128	18932
256	54122
512	106180
1024	245110
2048	664717
4096	1202508
8192	2718978
4	379
8	663
16	1522
32	3228
64	7671
128	18294
256	44758
512	102600
1024	236749
2048	568191
4096	1336345
8192	2584824
4	409
8	661
16	1363
32	3259
64	7579
128	17510
256	43450
512	124569
1024	245860
2048	493411
4096	1175409
8192	2572262
4	738
8	930
16	1873
32	4069
64	9284
128	21561
256	51106
512	119886
1024	272086
2048	561216
4096	1255900
8192	2423703
