4	2923
8	1237
16	1924
32	7269
64	25642
128	62973
256	281049
512	815295
1024	1565000
2048	3879565
4096	16683269
8192	60922170
4	262
8	252
16	287
32	442
64	563
128	868
256	1569
512	3590
1024	5808
2048	11272
4096	22156
8192	44949
4	294
8	395
16	793
32	2446
64	8303
128	31329
256	121606
512	459645
1024	1807805
2048	7566866
4096	29964447
8192	121477015
4	258
8	291
16	471
32	897
64	2711
128	9385
256	37529
512	109435
1024	405810
2048	1619610
4096	6799869
8192	27487281
4	257
8	290
16	453
32	855
64	2165
128	5566
256	26510
512	99935
1024	376151
2048	1411765
4096	5895587
8192	23377076
4	280
8	313
16	378
32	725
64	1912
128	5056
256	20723
512	66643
1024	274542
2048	1071514
4096	4558358
8192	18360780
4	284
8	324
16	382
32	562
64	1652
128	3898
256	12082
512	42243
1024	163325
2048	624531
4096	2708388
8192	11279298
4	317
8	314
16	633
32	1459
64	4928
128	16542
256	69975
512	264811
1024	1052160
2048	4580784
4096	17225576
8192	71009577
4	280
8	338
16	651
32	1602
64	5558
128	19087
256	80831
512	313709
1024	1206924
2048	5490672
4096	20952305
8192	83067308
4	274
8	344
16	662
32	1726
64	6376
128	22820
256	91023
512	355876
1024	1398205
2048	5867221
4096	23557575
8192	95187730
4	285
8	381
16	1628
32	2065
64	7150
128	26443
256	101642
512	396455
1024	1621971
2048	6690905
4096	27372855
8192	115154403
