4	2438
8	2467
16	6005
32	9593
64	17208
128	67865
256	97444
512	179953
1024	510010
2048	307280
4096	616745
8192	1073805
4	441
8	606
16	1463
32	2431
64	4399
128	12086
256	23553
512	46693
1024	126756
2048	256284
4096	509351
8192	1023105
4	457
8	584
16	1483
32	4049
64	4305
128	12061
256	23691
512	46637
1024	126799
2048	254274
4096	508960
8192	1021757
4	433
8	546
16	1514
32	2396
64	4389
128	12152
256	23767
512	46759
1024	126271
2048	268827
4096	506826
8192	1019166
4	468
8	587
16	1501
32	2526
64	4437
128	12096
256	26025
512	48828
1024	126580
2048	257516
4096	523933
8192	1224570
4	544
8	607
16	1542
32	2398
64	4411
128	12080
256	23617
512	46793
1024	126299
2048	257267
4096	527829
8192	1073553
4	485
8	620
16	1486
32	2497
64	4357
128	12115
256	23565
512	46674
1024	98691
2048	303149
4096	547203
8192	1083372
4	490
8	614
16	1555
32	2648
64	4758
128	13008
256	26420
512	50302
1024	135787
2048	274120
4096	544230
8192	1048442
4	422
8	504
16	1376
32	2475
64	4352
128	12008
256	23718
512	46980
1024	126726
2048	253256
4096	510743
8192	1036482
4	418
8	522
16	1381
32	2496
64	4340
128	11993
256	23711
512	46743
1024	129358
2048	255977
4096	506345
8192	1033874
4	454
8	604
16	1442
32	2496
64	4630
128	13341
256	23630
512	47015
1024	126695
2048	253302
4096	510306
8192	1025824
