4 	 860
8 	 709
16 	 861
32 	 1358
64 	 3996
128 	 3659
256 	 7327
512 	 15626
1024 	 31010
2048 	 53988
4096 	 105715
8192 	 202794
4 	 530
8 	 663
16 	 867
32 	 1251
64 	 1976
128 	 3420
256 	 6312
512 	 12268
1024 	 23487
2048 	 45078
4096 	 88967
8192 	 167741
4 	 455
8 	 532
16 	 693
32 	 1060
64 	 1689
128 	 2970
256 	 5520
512 	 11983
1024 	 21219
2048 	 43139
4096 	 79502
8192 	 157669
4 	 463
8 	 515
16 	 750
32 	 1056
64 	 1568
128 	 2792
256 	 5067
512 	 9849
1024 	 19539
2048 	 36955
4096 	 73186
8192 	 142779
4 	 373
8 	 453
16 	 675
32 	 931
64 	 1491
128 	 2595
256 	 4731
512 	 9044
1024 	 17464
2048 	 34126
4096 	 67754
8192 	 133239
4 	 352
8 	 444
16 	 567
32 	 872
64 	 1344
128 	 2376
256 	 4335
512 	 8436
1024 	 16232
2048 	 31792
4096 	 65975
8192 	 123149
4 	 329
8 	 396
16 	 576
32 	 787
64 	 1269
128 	 2169
256 	 3955
512 	 7931
1024 	 15224
2048 	 29754
4096 	 59231
8192 	 115761
4 	 343
8 	 367
16 	 513
32 	 783
64 	 1221
128 	 2123
256 	 3927
512 	 7507
1024 	 15773
2048 	 30940
4096 	 59482
8192 	 115256
4 	 304
8 	 340
16 	 480
32 	 759
64 	 1162
128 	 1988
256 	 3685
512 	 7107
1024 	 14009
2048 	 28042
4096 	 54694
8192 	 106724
4 	 277
8 	 311
16 	 407
32 	 712
64 	 1147
128 	 1956
256 	 3540
512 	 6953
1024 	 14811
2048 	 26534
4096 	 52082
8192 	 103958
4 	 263
8 	 318
16 	 420
32 	 633
64 	 1063
128 	 1812
256 	 3342
512 	 6716
1024 	 14272
2048 	 26025
4096 	 52986
8192 	 103465
