4 	 582
8 	 508
16 	 856
32 	 2238
64 	 7031
128 	 26255
256 	 97575
512 	 340473
1024 	 1378134
2048 	 5045843
4096 	 15681617
8192 	 44113756
4 	 204
8 	 207
16 	 254
32 	 290
64 	 439
128 	 644
256 	 1101
512 	 1990
1024 	 3803
2048 	 7556
4096 	 14995
8192 	 30935
4 	 215
8 	 277
16 	 531
32 	 1676
64 	 5700
128 	 21321
256 	 82779
512 	 339060
1024 	 1321759
2048 	 5267809
4096 	 21082118
8192 	 83976015
4 	 215
8 	 241
16 	 415
32 	 587
64 	 1756
128 	 4491
256 	 22192
512 	 77170
1024 	 298703
2048 	 1149567
4096 	 4705277
8192 	 19138705
4 	 204
8 	 232
16 	 330
32 	 582
64 	 1558
128 	 4100
256 	 19466
512 	 66186
1024 	 255772
2048 	 965765
4096 	 4160104
8192 	 16210208
4 	 187
8 	 242
16 	 322
32 	 503
64 	 1344
128 	 3581
256 	 14360
512 	 48770
1024 	 205425
2048 	 778689
4096 	 3197167
8192 	 12511098
4 	 186
8 	 249
16 	 319
32 	 438
64 	 1135
128 	 2790
256 	 8788
512 	 31544
1024 	 123680
2048 	 442404
4096 	 1877660
8192 	 7377620
4 	 214
8 	 243
16 	 444
32 	 1016
64 	 3494
128 	 11941
256 	 57935
512 	 197210
1024 	 787321
2048 	 3076543
4096 	 12203112
8192 	 49115676
4 	 203
8 	 239
16 	 452
32 	 1132
64 	 3982
128 	 13884
256 	 59015
512 	 224829
1024 	 893883
2048 	 3624997
4096 	 14282707
8192 	 57439176
4 	 205
8 	 271
16 	 479
32 	 1233
64 	 4542
128 	 16513
256 	 66526
512 	 255349
1024 	 1060441
2048 	 4142670
4096 	 16514988
8192 	 65907092
4 	 208
8 	 263
16 	 489
32 	 1433
64 	 5122
128 	 19201
256 	 76393
512 	 305160
1024 	 1166939
2048 	 4672615
4096 	 18870204
8192 	 75121878
